,Reason,X,DOI,Title,trimmed_title,CombinedCites,CombinedAuthors,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,DOI_missing,CitationURL,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
694,IN LATER VOLUME,694,10.1177/19485506221144150,Think About It! Deliberation Reduces the Negative Relation Between Conspiracy Belief and Adherence to Prosocial Norms,think about it deliberation reduces the negative r,1,"L Pummerer, L Ditrich, K Winter…",2022,Social Psychological …,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506221144150,"https://scholar.google.com/scholar?cites=3019473973800019583&as_sdt=2005&sciodt=0,5&hl=en",81,FALSE,NA,1,1,0,4,1,"People believing in conspiracy theories question mainstream thoughts and behavior, but it is unknown whether it is also linked to lower adherence to the prosocial norms of the broader …",https://journals.sagepub.com/doi/pdf/10.1177/19485506221144150,"https://scholar.google.com/scholar?q=related:fybj0JRT5ykJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
695,IN LATER VOLUME,695,10.1177/19485506231153017,The between-person and within-person effects of intergroup contact on outgroup attitudes: A multi-context examination,the betweenperson and withinperson effects of inte,5,"MT Friehs, C Bracegirdle, NK Reimer…",2022,… Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506231153017,"https://scholar.google.com/scholar?cites=13033310083309967688&as_sdt=2005&sciodt=0,5&hl=en",53,FALSE,NA,5,5,1,4,1,"The extensive literature on the contact hypothesis reports a positive association between intergroup contact and outgroup attitudes, yet it remains unknown whether this association …",https://journals.sagepub.com/doi/pdf/10.1177/19485506231153017,"https://scholar.google.com/scholar?q=related:SBk1o3ee37QJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
696,IN LATER VOLUME,696,10.1177/19485506231164206,Exposure to Immigrants Does Not Moderate the Relationship Between Disgust Sensitivity and Opposition to Immigration,exposure to immigrants does not moderate the relat,1,"F van Leeuwen, L Aarøe, MB Petersen…",2022,… Personality Science,journals.sagepub.com,https://journals.sagepub.com/doi/abs/10.1177/19485506231164206,"https://scholar.google.com/scholar?cites=10102916458838460337&as_sdt=2005&sciodt=0,5&hl=en",101,FALSE,NA,1,1,0,4,1,"Individuals who are more motivated to avoid pathogenic infection tend to be more opposed to immigrants. Explanations for this relation emphasize lack of familiarity, with people who …",https://journals.sagepub.com/doi/pdf/10.1177/19485506231164206,"https://scholar.google.com/scholar?q=related:sYeD5P3ENIwJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
697,INCLUDED- TITLE WRONG,697,MISSING_DOI_battle of wits militaristic conservatism and warfa,Battle of wits: militaristic conservatism and warfare cues enhance the perceived intellect of allies versus adversaries,battle of wits militaristic conservatism and warfa,3,"C Holbrook, L Lopez-Rodriguez, A Gomez",2018,… Psychological and Personality Science,NA,NA,"https://scholar.google.com/scholar?cites=1795566953670167955&as_sdt=2005&sciodt=0,5&hl=en",103,TRUE,NA,3,0.6,1,3,5,NA,NA,"https://scholar.google.com/scholar?q=related:k83wi6Ei6xgJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
698,NOT ARTICLE,698,MISSING_DOI_changing party alignments in american attitudes to,"Changing party alignments in American attitudes toward trade: reflections on the past, implications for the future",changing party alignments in american attitudes to,6,D Mutz,2017,The future of the global order …,… Psychological and Personality …,NA,"https://scholar.google.com/scholar?cites=5795627667399503623&as_sdt=2005&sciodt=0,5&hl=en",106,TRUE,NA,6,1,6,1,6,NA,NA,"https://scholar.google.com/scholar?q=related:B-_FLag0blAJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
699,INCLUDED- TITLE WRONG,699,MISSING_DOI_denying history denying racism replicating and ext,"Denying history, denying racism: Replicating and extending the Marley Hypothesis",denying history denying racism replicating and ext,3,"CM Bonam, VN Das, B Coleman, P Salter",2018,… Psychological and Personality Science,NA,NA,"https://scholar.google.com/scholar?cites=18159872103305512935&as_sdt=2005&sciodt=0,5&hl=en",102,TRUE,NA,3,0.6,1,4,5,NA,NA,"https://scholar.google.com/scholar?q=related:5wcNfHbTBPwJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2018"
700,INCLUDED- TITLE WRONG,700,MISSING_DOI_does reducing prejudice increase outgroup identifi,Does reduc‑ing prejudice increase outgroup identification? The downstream consequences of associating positive concepts with racial categories,does reducing prejudice increase outgroup identifi,3,"CE Phills, K Kawakami, DR Krusemark, J Nyguen",2019,… Psychological and Personality …,NA,NA,"https://scholar.google.com/scholar?cites=8011877030943700878&as_sdt=2005&sciodt=0,5&hl=en",109,TRUE,NA,3,0.75,1,4,4,NA,NA,"https://scholar.google.com/scholar?q=related:jreC_bXnL28J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2019&as_yhi=2019"
701,NOT ARTICLE,701,MISSING_DOI_flekova lucie giorgi salvatore hagan courtney kern,"Flekova Lucie, Giorgi Salvatore, Hagan Courtney, Kern Margaret L., Buffone Anneke EK, Ungar Lyle, and Seligman Martin EP. 2017",flekova lucie giorgi salvatore hagan courtney kern,2,"C Jordan, PP Daniel",2017,… . Social Psychological and Personality Science,NA,NA,"https://scholar.google.com/scholar?cites=13424126630749750501&as_sdt=2005&sciodt=0,5&hl=en",107,TRUE,NA,2,0.33,1,2,6,NA,NA,"https://scholar.google.com/scholar?q=related:5USz7QsUTLoJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
702,INCLUDED- TITLE WRONG,702,MISSING_DOI_forthcominglaypersons beliefs and intuitions about,"forthcoming,“Laypersons' Beliefs and Intuitions About Free Will and Determinism: New Insights Linking the Social Psychology and Experimental …",forthcominglaypersons beliefs and intuitions about,2,"G Feldman, SP Chandrashekar",2017,Social Psychological and Personality Science,NA,NA,"https://scholar.google.com/scholar?cites=7941283477725775681&as_sdt=2005&sciodt=0,5&hl=en",104,TRUE,NA,2,0.33,1,2,6,NA,NA,"https://scholar.google.com/scholar?q=related:QQeGjj8bNW4J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
703,NOT ARTICLE,703,MISSING_DOI_how good is boris johnsons credit support for tran,How Good is Boris Johnson's Credit? Support for Transgressive Leadership Revealed Through a Machine Learning Analysis of Tweets,how good is boris johnsons credit support for tran,0,"BB Davies, D Abrams, C Leicht",2020,… Psychological and Personality Science,Sage,NA,NA,113,TRUE,NA,0,0,0,3,3,NA,NA,"https://scholar.google.com/scholar?q=related:2IHvSwmr2-gJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
704,NOT ARTICLE,704,MISSING_DOI_l havaldar s davani am lin y kennedy b atari m kam,L Havaldar S Davani AM Lin Y Kennedy B Atari M Kamel Z Mendlen M Moreno G Park C Chang TE Chin J Leong C Leung JY Mirinjian A Dehghani M,l havaldar s davani am lin y kennedy b atari m kam,3,HJPWG Yeh,2020,… Social Psychological and Personality Science,NA,NA,"https://scholar.google.com/scholar?cites=13666262498687717971&as_sdt=2005&sciodt=0,5&hl=en",115,TRUE,NA,3,1,3,1,3,NA,NA,"https://scholar.google.com/scholar?q=related:UxKG6VVRqL0J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020"
705,NEVER PUBLISHED,705,MISSING_DOI_loathe thy neighbor the effects of residential div,Loathe thy neighbor: The effects of residential diversity on Whites' perceptions of threat,loathe thy neighbor the effects of residential div,3,"LX Zou, S Cheryan",2017,Social Psychological and Personality Science,NA,NA,"https://scholar.google.com/scholar?cites=18243692414034366614&as_sdt=2005&sciodt=0,5&hl=en",100,TRUE,NA,3,0.5,2,2,6,NA,NA,"https://scholar.google.com/scholar?q=related:ltABYpedLv0J:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2017&as_yhi=2017"
706,IN LATER VOLUME,706,MISSING_DOI_moral expansiveness across cultures the role of so,Moral expansiveness across cultures: The role of societal factors across 39 countries,moral expansiveness across cultures the role of so,1,"K Kirkland, C Crimston, J Jetten…",2022,… Psychological and …,Sage Periodicals Press,NA,"https://scholar.google.com/scholar?cites=15004093568591903400&as_sdt=2005&sciodt=0,5&hl=en",126,TRUE,NA,1,1,0,4,1,NA,NA,"https://scholar.google.com/scholar?q=related:qLqkBJs_OdAJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
710,BEFORE 2017,710,MISSING_DOI_social dominance in context and in individuals con,Social dominance in context and in individuals: Contextual moderation of robust effects of social,social dominance in context and in individuals con,0,"F Pratto, A Cidam, AL Stewart",2022,… Psychological and Personality Science,academia.edu,https://www.academia.edu/download/94349098/Social_20Psychological_20and_20Personality_20Science-2013-Pratto-1948550612473663.pdf,NA,128,TRUE,NA,0,0,0,3,#NAME?,"We tested the internal reliability and predictive validity of a new 4-item Short Social Dominance Orientation (SSDO) scale among adults in 20 countries, using 15 languages (N …",https://www.academia.edu/download/94349098/Social_20Psychological_20and_20Personality_20Science-2013-Pratto-1948550612473663.pdf,"https://scholar.google.com/scholar?q=related:brAzxTNFOdUJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2022&as_yhi=2022"
711,BEFORE 2017,711,MISSING_DOI_societal effects of covid19 conspiracy theories,Societal effects of COVID-19 conspiracy theories,societal effects of covid19 conspiracy theories,2,"L Pummerer, R Böhm, L Lilleholt, K Winter…",2021,Social Psychological …,researchgate.net,https://www.researchgate.net/profile/Lotte-Pummerer/publication/340650399_Conspiracy_theories_and_their_societal_effects_during_the_COVID-19_pandemic/links/5fb5463fa6fdccf768684f3c/Conspiracy-theories-and-their-societal-effects-during-the-COVID-19-pandemic.pdf,"https://scholar.google.com/scholar?cites=6157519188128632152&as_sdt=2005&sciodt=0,5&hl=en",140,TRUE,NA,2,1,0,5,2,"During COVID-19, conspiracy theories were intensely discussed in the media. Believing in specific conspiracy theories (ie, explanations for events based on powerholders' secret …",https://www.researchgate.net/profile/Lotte-Pummerer/publication/340650399_Conspiracy_theories_and_their_societal_effects_during_the_COVID-19_pandemic/links/5fb5463fa6fdccf768684f3c/Conspiracy-theories-and-their-societal-effects-during-the-COVID-19-pandemic.pdf,"https://scholar.google.com/scholar?q=related:WA0P4hPnc1UJ:scholar.google.com/&scioq=source:%22social+psychological+and+personality+science%22&hl=en&as_sdt=0,5&as_ylo=2021&as_yhi=2021"
